Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
2018,1,God's Plan,Drake,God's Plan,Drake
2018,2,Perfect,Ed Sheeran,Perfect,Ed Sheeran
2018,3,Meant to Be,Bebe Rexha,Meant to Be,Bebe Rexha featuring Florida Georgia Line
2018,4,Havana,Camila Cabello,Havana,Camila Cabello featuring Young Thug
2018,5,Rockstar,Post Malone,Rockstar,Post Malone featuring 21 Savage
2018,6,Psycho,Post Malone,Psycho,Post Malone featuring Ty Dolla Sign
2018,7,I Like It,"Cardi B, Bad Bunny",I Like It,"Cardi B, Bad Bunny and J Balvin"
2018,8,The Middle,"Zedd, Maren Morris",The Middle,"Zedd, Maren Morris and Grey"
2018,9,In My Feelings,Drake,In My Feelings,Drake
2018,10,Girls Like You,Maroon 5,Girls Like You,Maroon 5 featuring Cardi B
2018,11,Nice for What,Drake,Nice for What,Drake
2018,12,Lucid Dreams,Juice Wrld,Lucid Dreams,Juice Wrld
2018,13,Better Now,Post Malone,Better Now,Post Malone
2018,14,Finesse,Bruno Mars,Finesse,Bruno Mars featuring Cardi B
2018,15,Boo'd Up,Ella Mai,Boo'd Up,Ella Mai
2018,16,New Rules,Dua Lipa,New Rules,Dua Lipa
2018,17,Sad!,XXXTentacion,Sad!,XXXTentacion
2018,18,Never Be the Same,Camila Cabello,Never Be the Same,Camila Cabello
2018,19,Love Lies,Khalid,Love Lies,Khalid and Normani
2018,20,No Tears Left to Cry,Ariana Grande,No Tears Left to Cry,Ariana Grande
2018,21,Mine,Bazzi,Mine,Bazzi
2018,22,Thunder,Imagine Dragons,Thunder,Imagine Dragons
2018,23,Look Alive,BlocBoy JB,Look Alive,BlocBoy JB featuring Drake
2018,24,Delicate,Taylor Swift,Delicate,Taylor Swift
2018,25,Yes Indeed,Lil Baby,Yes Indeed,Lil Baby and Drake
2018,26,Friends,Marshmello,Friends,Marshmello and Anne-Marie
2018,27,Bad at Love,Halsey,Bad at Love,Halsey
2018,28,Taste,Tyga,Taste,Tyga featuring Offset
2018,29,Let You Down,NF,Let You Down,NF
2018,30,No Limit,G-Eazy,No Limit,G-Eazy featuring ASAP Rocky and Cardi B
2018,31,Fefe,6ix9ine,Fefe,6ix9ine featuring Nicki Minaj and Murda Beatz
2018,32,Tequila,Dan + Shay,Tequila,Dan + Shay
2018,33,Feel It Still,Portugal. The Man,Feel It Still,Portugal. The Man
2018,34,MotorSport,"Migos, Nicki Minaj",MotorSport,"Migos, Nicki Minaj and Cardi B"
2018,35,I Like Me Better,Lauv,I Like Me Better,Lauv
2018,36,Youngblood,5 Seconds of Summer,Youngblood,5 Seconds of Summer
2018,37,Whatever It Takes,Imagine Dragons,Whatever It Takes,Imagine Dragons
2018,38,Ric Flair Drip,Offset,Ric Flair Drip,Offset and Metro Boomin
2018,39,I Fall Apart,Post Malone,I Fall Apart,Post Malone
