Year,Rank,Track_Title,Artist_Name,Raw_Track_Title,Raw_Artist_Name
2010,1,Tik Tok,Kesha,Tik Tok,Kesha
2010,2,Need You Now,Lady Antebellum,Need You Now,Lady Antebellum
2010,3,"Hey, Soul Sister",Train,"Hey, Soul Sister",Train
2010,4,California Gurls,Katy Perry,California Gurls,Katy Perry featuring Snoop Dogg
2010,5,OMG,Usher,OMG,Usher featuring will.i.am
2010,6,Airplanes,B.o.B,Airplanes,B.o.B featuring Hayley Williams
2010,7,Love the Way You Lie,Eminem,Love the Way You Lie,Eminem featuring Rihanna
2010,8,Bad Romance,Lady Gaga,Bad Romance,Lady Gaga
2010,9,Dynamite,Taio Cruz,Dynamite,Taio Cruz
2010,10,Break Your Heart,Taio Cruz,Break Your Heart,Taio Cruz featuring Ludacris
2010,11,Nothin' on You,B.o.B,Nothin' on You,B.o.B featuring Bruno Mars
2010,12,I Like It,Enrique Iglesias,I Like It,Enrique Iglesias featuring Pitbull
2010,13,BedRock,Young Money,BedRock,Young Money featuring Lloyd
2010,14,In My Head,Jason Derulo,In My Head,Jason Derulo
2010,15,Rude Boy,Rihanna,Rude Boy,Rihanna
2010,16,Telephone,Lady Gaga,Telephone,Lady Gaga featuring Beyoncé
2010,17,Teenage Dream,Katy Perry,Teenage Dream,Katy Perry
2010,18,Just the Way You Are,Bruno Mars,Just the Way You Are,Bruno Mars
2010,19,Cooler Than Me,Mike Posner,Cooler Than Me,Mike Posner
2010,20,Imma Be,The Black Eyed Peas,Imma Be,The Black Eyed Peas
2010,21,Empire State of Mind,Jay-Z,Empire State of Mind,Jay-Z featuring Alicia Keys
2010,22,DJ Got Us Fallin' in Love,Usher,DJ Got Us Fallin' in Love,Usher featuring Pitbull
2010,23,Billionaire,Travie McCoy,Billionaire,Travie McCoy featuring Bruno Mars
2010,24,Not Afraid,Eminem,Not Afraid,Eminem
2010,25,Replay,Iyaz,Replay,Iyaz
2010,26,Sexy Bitch,David Guetta,Sexy Bitch,David Guetta featuring Akon
2010,27,Breakeven,The Script,Breakeven,The Script
2010,28,Your Love Is My Drug,Kesha,Your Love Is My Drug,Kesha
2010,29,I Gotta Feeling,The Black Eyed Peas,I Gotta Feeling,The Black Eyed Peas
2010,30,Fireflies,Owl City,Fireflies,Owl City
2010,31,Say Aah,Trey Songz,Say Aah,Trey Songz featuring Fabolous
2010,32,Find Your Love,Drake,Find Your Love,Drake
2010,33,Alejandro,Lady Gaga,Alejandro,Lady Gaga
2010,34,Ridin' Solo,Jason Derulo,Ridin' Solo,Jason Derulo
2010,35,Just a Dream,Nelly,Just a Dream,Nelly
2010,36,How Low,Ludacris,How Low,Ludacris
2010,37,Like a G6,Far East Movement,Like a G6,Far East Movement featuring The Cataracs and Dev
2010,38,Carry Out,Timbaland,Carry Out,Timbaland featuring Justin Timberlake
